項目,目的・注意事項,ディオクリニック,ウララクリニック,リエートクリニック,エミナルクリニック,湘南美容クリニック
クリニック名,正式名称を使用,ディオクリニック,ウララクリニック,リエートクリニック,エミナルクリニック,湘南美容クリニック
満足度評価,5段階評価（表示形式）,4.9/5.0,4.8/5.0,4.7/5.0,4.6/5.0,4.5/5.0
プッシュメッセージ,ランキングカード内の訴求文,"【総合人気No.1】<br>2025年のイチ押し！<br>業界屈指のコスパ","次世代医療！<br>成功率94%の実績","厚労省承認マシン<br>科学的に脂肪を減らす","多店舗展開<br>笑なる","大手美容クリニック<br>メニュー豊富"
公式サイトURL（region_id付き）,地域パラメータ付きURL,https://dioclinic.jp/?region_id=013,https://uraraclinic.jp/?region_id=013,https://lietoclinic.com/lpbot/lpbot07kana15?region_id=013,https://diet.eminal-clinic.jp/lp/m_bodymake/?region_id=013,https://www.s-b-c.net/slimming/?region_id=013
ランキングバナー画像,各順位のバッジ画像,/images/badges/rank-1.svg,/images/badges/rank-2.svg,/images/badges/rank-3.svg,/images/badges/rank-4.svg,/images/badges/rank-5.svg
ランキングカードロゴ,カード内のロゴ画像,/images/clinics/dio/dio-logo.webp,/images/clinics/urara/urara-logo.webp,/images/clinics/lieto/lieto-logo.webp,/images/clinics/eminal/eminal-logo.webp,/images/clinics/sbc/sbc-logo.webp
詳細セクションタイトル,詳細セクションの見出し,99%が実感した医療痩せ！,リーズナブルな価格設定,最新技術で安心痩身,-,-
詳細セクションサブタイトル,詳細セクションの副題,我慢・失敗・リバウンド防止,学生に人気の医療痩身,個人に合わせたオーダーメイド施術,-,-
比較表_総合評価,比較表での評価表示,4.8,4.8,4.8,4.8,4.8
比較表_実績,比較表での実績表示,"ダイエット成功率99％<br>平均13.7kg減",ダイエット成功率94%,ダイエット成功率94%,豊富な実績,豊富な実績
比較表_特典,比較表での特典表示,"今なら<br>12ヶ月分0円！","今なら<br>最大79%OFF！","最大80%OFF<br>（モニター割引）",特別キャンペーン,特別キャンペーン
比較表_人気プラン,比較表での人気プラン,脂肪冷却,脂肪冷却,脂肪冷却,人気プラン,人気プラン
比較表_医療機器,比較表での医療機器,"脂肪冷却<br>医療用EMS<br>医療ハイフ<br>医療ラジオ波","脂肪冷却装置<br>医療用EMS<br>医療電磁場装置<br>医療ラジオ波","脂肪冷却<br>医療用EMS<br>医療ハイフ",医療機器,医療機器
比較表_注射治療,比較表での注射治療,"脂肪溶解注射<br>サンサム注射<br>ダイエット点滴<br>GLP-1<br>サクセンダ","脂肪溶解注射<br>ダイエット点滴<br>GLP-1<br>オルリスタット<br>ビグアナイド系薬剤","脂肪溶解注射<br>ダイエット美容点滴<br>エクソソーム点滴",注射療法,注射療法
比較表_食事指導,比較表での食事指導,"栄養管理士<br>による指導","管理栄養士<br>による指導","医師監修のもと<br>管理栄養士の指導",〇,〇
比較表_モニター割引,比較表でのモニター割引,"あり<br>75％OFF","あり<br>最大79%OFF","あり<br>最大80%OFF",×,×
比較表_返金保証,比較表での返金保証,痩せなかったら返金,痩せなかったら返金,あり（※条件付き）,×,×
キャンペーン情報_ロゴ,キャンペーンセクションのロゴ,/images/clinics/dio/dio-logo.webp,/images/clinics/urara/urara-logo.webp,/images/clinics/lieto/lieto-logo.webp,-,-
キャンペーン情報_テキスト,キャンペーンセクションの文言,"今なら12ヶ月分が0円！<br>痩せなければ返金保証あり","痩せなければ返金保証<br>さらに脂肪買取制度あり","モニター最大80％OFF<br>痩せなければ返金保証あり",-,-
キャンペーン情報_マイクロコピー,キャンペーンセクションの小見出し,＼症例数50万件以上の実績で安心／,＼ダイエット成功率94％の実績／,＼リバウンドしない率99.8％／,-,-