キーワード,マッチタイプ,カテゴリ,除外理由,推定CTR損失,推定無駄クリック削減率
セルフ,部分一致,自己解決系,医療機関での施術を求めていない,5%,40%
自分で,部分一致,自己解決系,医療機関での施術を求めていない,3%,35%
自宅,部分一致,自己解決系,医療機関での施術を求めていない,4%,38%
家庭用,部分一致,自己解決系,医療機関での施術を求めていない,2%,45%
DIY,部分一致,自己解決系,医療機関での施術を求めていない,1%,50%
無料,部分一致,無料・低予算系,価格帯の乖離,8%,60%
タダ,部分一致,無料・低予算系,価格帯の乖離,2%,55%
0円,部分一致,無料・低予算系,価格帯の乖離,3%,58%
激安,部分一致,無料・低予算系,価格帯の乖離,5%,52%
格安,部分一致,無料・低予算系,価格帯の乖離,6%,48%
"医療痩身とは",フレーズ一致,情報収集,購買意欲低,10%,70%
"医療ダイエット 仕組み",フレーズ一致,情報収集,購買意欲低,3%,65%
"痩身 メカニズム",フレーズ一致,情報収集,購買意欲低,2%,68%
"効果 本当",フレーズ一致,情報収集,購買意欲低,4%,55%
"嘘 本当",フレーズ一致,情報収集,購買意欲低,3%,60%
"医療痩身 失敗",フレーズ一致,ネガティブ,不安・疑念,5%,80%
"医療ダイエット 後悔",フレーズ一致,ネガティブ,不安・疑念,3%,85%
"痩身 危険性",フレーズ一致,ネガティブ,不安・疑念,4%,82%
"副作用 ひどい",フレーズ一致,ネガティブ,不安・疑念,2%,88%
"訴訟 事例",フレーズ一致,ネガティブ,不安・疑念,1%,90%
"痩身 エステ",フレーズ一致,代替手段,他サービス検討,8%,45%
"ダイエット サプリ",フレーズ一致,代替手段,他サービス検討,6%,50%
"断食 方法",フレーズ一致,代替手段,他サービス検討,3%,55%
"筋トレ だけ",フレーズ一致,代替手段,他サービス検討,4%,48%
[医療痩身 保険適用],完全一致,誤解,自由診療の理解不足,2%,95%
[医療ダイエット 保険診療],完全一致,誤解,自由診療の理解不足,1%,96%
[痩身外来 3割負担],完全一致,誤解,自由診療の理解不足,1%,97%
求人,部分一致,求人・採用,非顧客,3%,99%
採用,部分一致,求人・採用,非顧客,2%,99%
バイト,部分一致,求人・採用,非顧客,2%,99%
転職,部分一致,求人・採用,非顧客,1%,99%
資格,部分一致,学習・資格,非顧客,2%,98%
講座,部分一致,学習・資格,非顧客,1%,98%
スクール,部分一致,学習・資格,非顧客,1%,98%
"医療痩身 怖い",フレーズ一致,心理的障壁,不安が強い,3%,75%
"痩身 不安",フレーズ一致,心理的障壁,不安が強い,4%,72%
"医療ダイエット 迷う",フレーズ一致,心理的障壁,決断できない,2%,70%
"いつか",フレーズ一致,時期未定,緊急性なし,5%,85%
"将来",フレーズ一致,時期未定,緊急性なし,4%,83%
"来年",フレーズ一致,時期未定,緊急性なし,3%,88%
論文,部分一致,学術研究,非顧客,1%,95%
研究,部分一致,学術研究,非顧客,2%,92%
エビデンス,部分一致,学術研究,購買意欲低,2%,75%